"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17917","Login via SQL Database","","Sat Jan 31 07:29:33 UTC 2026","broken","Sat Jan 31 07:29:51 UTC 2026","","","",""
"","7871","Login via JSON","","Sat Jan 31 07:29:20 UTC 2026","passed","Sat Jan 31 07:29:28 UTC 2026","","","",""
"","5091","Login via EXCEL","","Sat Jan 31 07:29:28 UTC 2026","passed","Sat Jan 31 07:29:33 UTC 2026","","","",""
"","94","Loin failure via SQL","","Sat Jan 31 07:29:51 UTC 2026","passed","Sat Jan 31 07:29:52 UTC 2026","","","",""
"","115","Login failure via Excel","","Sat Jan 31 07:29:51 UTC 2026","broken","Sat Jan 31 07:29:51 UTC 2026","","","",""
"","112","Login failure via JSON","","Sat Jan 31 07:29:51 UTC 2026","broken","Sat Jan 31 07:29:51 UTC 2026","","","",""
