"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8213","Login via JSON","","Thu Jan 29 07:43:27 UTC 2026","passed","Thu Jan 29 07:43:36 UTC 2026","","","",""
"","18251","Login via SQL Database","","Thu Jan 29 07:43:36 UTC 2026","broken","Thu Jan 29 07:43:54 UTC 2026","","","",""
